Index,Character,Pinyin,Sentence
140,"历","[PINYIN_历]","这个字是历。"
141,"原","[PINYIN_原]","这个字是原。"
142,"去","qù","我去学校。"
143,"参","[PINYIN_参]","这个字是参。"
144,"及","[PINYIN_及]","这个字是及。"
145,"友","[PINYIN_友]","这个字是友。"
146,"反","[PINYIN_反]","这个字是反。"
147,"发","[PINYIN_发]","这个字是发。"
148,"叔","[PINYIN_叔]","这个字是叔。"
149,"口","kǒu","口很渴。"
150,"古","[PINYIN_古]","这个字是古。"
151,"另","[PINYIN_另]","这个字是另。"
152,"史","[PINYIN_史]","这个字是史。"
153,"右","yòu","右边。"
154,"叶","[PINYIN_叶]","这个字是叶。"
155,"号","[PINYIN_号]","这个字是号。"
156,"司","[PINYIN_司]","这个字是司。"
157,"吃","chī","我吃饭。"
158,"各","[PINYIN_各]","这个字是各。"
159,"合","[PINYIN_合]","这个字是合。"
160,"吉","[PINYIN_吉]","这个字是吉。"
161,"同","[PINYIN_同]","这个字是同。"
162,"名","[PINYIN_名]","这个字是名。"
163,"后","hòu","后面。"
164,"吗","ma","好吗？"
165,"吧","ba","好吧。"
166,"听","tīng","我听音乐。"
167,"吸","[PINYIN_吸]","这个字是吸。"
168,"呀","ya","好呀。"
169,"告","[PINYIN_告]","这个字是告。"
170,"员","[PINYIN_员]","这个字是员。"
171,"呢","ne","你呢？"
172,"命","[PINYIN_命]","这个字是命。"
173,"和","hé","我和你。"
174,"咖","[PINYIN_咖]","这个字是咖。"
175,"咱","[PINYIN_咱]","这个字是咱。"
176,"品","[PINYIN_品]","这个字是品。"
177,"哈","hā","哈哈。"
178,"响","[PINYIN_响]","这个字是响。"
179,"哎","[PINYIN_哎]","这个字是哎。"
180,"哥","[PINYIN_哥]","这个字是哥。"
181,"哪","[PINYIN_哪]","这个字是哪。"
182,"哲","[PINYIN_哲]","这个字是哲。"
183,"唱","[PINYIN_唱]","这个字是唱。"
184,"商","[PINYIN_商]","这个字是商。"
185,"啡","[PINYIN_啡]","这个字是啡。"
186,"喘","[PINYIN_喘]","这个字是喘。"
187,"嗽","[PINYIN_嗽]","这个字是嗽。"
188,"嘴","[PINYIN_嘴]","这个字是嘴。"
189,"器","[PINYIN_器]","这个字是器。"
190,"四","[PINYIN_四]","这个字是四。"
191,"回","huí","我回家。"
192,"因","[PINYIN_因]","这个字是因。"
193,"团","[PINYIN_团]","这个字是团。"
194,"园","[PINYIN_园]","这个字是园。"
195,"困","[PINYIN_困]","这个字是困。"
196,"国","[PINYIN_国]","这个字是国。"
197,"图","[PINYIN_图]","这个字是图。"
198,"圈","[PINYIN_圈]","这个字是圈。"
199,"土","tǔ","土地。"
200,"在","zài","我在家。"
201,"场","[PINYIN_场]","这个字是场。"
202,"圾","[PINYIN_圾]","这个字是圾。"
203,"址","[PINYIN_址]","这个字是址。"
204,"均","[PINYIN_均]","这个字是均。"
205,"坐","zuò","我坐车。"
206,"块","[PINYIN_块]","这个字是块。"
207,"坚","[PINYIN_坚]","这个字是坚。"
208,"垃","[PINYIN_垃]","这个字是垃。"
209,"基","[PINYIN_基]","这个字是基。"
210,"堂","[PINYIN_堂]","这个字是堂。"
211,"堵","[PINYIN_堵]","这个字是堵。"
212,"境","[PINYIN_境]","这个字是境。"
213,"墙","[PINYIN_墙]","这个字是墙。"
214,"增","[PINYIN_增]","这个字是增。"
215,"壁","[PINYIN_壁]","这个字是壁。"
216,"士","[PINYIN_士]","这个字是士。"
217,"处","[PINYIN_处]","这个字是处。"
218,"备","[PINYIN_备]","这个字是备。"
219,"复","[PINYIN_复]","这个字是复。"
220,"外","wài","外面。"
221,"多","duō","很多书。"
222,"天","tiān","今天。"
223,"太","[PINYIN_太]","这个字是太。"
224,"夫","[PINYIN_夫]","这个字是夫。"
225,"失","[PINYIN_失]","这个字是失。"
226,"头","tóu","头发。"
227,"奇","[PINYIN_奇]","这个字是奇。"
228,"奏","[PINYIN_奏]","这个字是奏。"
229,"奖","[PINYIN_奖]","这个字是奖。"
230,"女","[PINYIN_女]","这个字是女。"
231,"奶","[PINYIN_奶]","这个字是奶。"
232,"她","tā","她是医生。"
233,"好","hǎo","你好。"
234,"如","[PINYIN_如]","这个字是如。"
235,"妈","[PINYIN_妈]","这个字是妈。"
236,"妹","[PINYIN_妹]","这个字是妹。"
237,"妻","[PINYIN_妻]","这个字是妻。"
238,"始","[PINYIN_始]","这个字是始。"
239,"姐","[PINYIN_姐]","这个字是姐。"
240,"姓","[PINYIN_姓]","这个字是姓。"
241,"姨","[PINYIN_姨]","这个字是姨。"
242,"娘","[PINYIN_娘]","这个字是娘。"
243,"婆","[PINYIN_婆]","这个字是婆。"
244,"婚","[PINYIN_婚]","这个字是婚。"
245,"子","[PINYIN_子]","这个字是子。"
246,"孔","[PINYIN_孔]","这个字是孔。"
247,"字","[PINYIN_字]","这个字是字。"
248,"孟","[PINYIN_孟]","这个字是孟。"
249,"季","[PINYIN_季]","这个字是季。"
250,"学","xué","我学习。"
251,"孩","[PINYIN_孩]","这个字是孩。"
252,"宅","[PINYIN_宅]","这个字是宅。"
253,"守","[PINYIN_守]","这个字是守。"
254,"安","[PINYIN_安]","这个字是安。"
255,"定","[PINYIN_定]","这个字是定。"
256,"宝","[PINYIN_宝]","这个字是宝。"
257,"实","[PINYIN_实]","这个字是实。"
258,"客","[PINYIN_客]","这个字是客。"
259,"室","[PINYIN_室]","这个字是室。"
260,"宫","[PINYIN_宫]","这个字是宫。"
261,"宴","[PINYIN_宴]","这个字是宴。"
262,"宵","[PINYIN_宵]","这个字是宵。"
263,"家","jiā","我家。"
264,"容","[PINYIN_容]","这个字是容。"
265,"宾","[PINYIN_宾]","这个字是宾。"
266,"宿","[PINYIN_宿]","这个字是宿。"
267,"密","[PINYIN_密]","这个字是密。"
268,"富","[PINYIN_富]","这个字是富。"
269,"寒","[PINYIN_寒]","这个字是寒。"
270,"察","[PINYIN_察]","这个字是察。"
271,"导","[PINYIN_导]","这个字是导。"
272,"将","[PINYIN_将]","这个字是将。"
273,"尊","[PINYIN_尊]","这个字是尊。"
274,"小","xiǎo","很小。"
275,"尔","[PINYIN_尔]","这个字是尔。"
276,"尘","[PINYIN_尘]","这个字是尘。"
277,"尤","[PINYIN_尤]","这个字是尤。"
278,"就","jiù","我就来。"
279,"尽","[PINYIN_尽]","这个字是尽。"
280,"局","[PINYIN_局]","这个字是局。"
281,"屉","[PINYIN_屉]","这个字是屉。"
282,"展","[PINYIN_展]","这个字是展。"
283,"山","shān","高山。"
284,"岁","[PINYIN_岁]","这个字是岁。"
285,"岛","[PINYIN_岛]","这个字是岛。"
286,"州","[PINYIN_州]","这个字是州。"
287,"工","[PINYIN_工]","这个字是工。"
288,"左","zuǒ","左边。"
289,"巧","[PINYIN_巧]","这个字是巧。"
290,"差","[PINYIN_差]","这个字是差。"
291,"己","[PINYIN_己]","这个字是己。"
292,"已","[PINYIN_已]","这个字是已。"
293,"巴","[PINYIN_巴]","这个字是巴。"
294,"币","[PINYIN_币]","这个字是币。"
295,"市","[PINYIN_市]","这个字是市。"
296,"帅","[PINYIN_帅]","这个字是帅。"
297,"师","[PINYIN_师]","这个字是师。"
298,"希","[PINYIN_希]","这个字是希。"
299,"帮","[PINYIN_帮]","这个字是帮。"
300,"常","[PINYIN_常]","这个字是常。"
301,"帽","[PINYIN_帽]","这个字是帽。"
302,"幕","[PINYIN_幕]","这个字是幕。"
303,"平","[PINYIN_平]","这个字是平。"
304,"并","[PINYIN_并]","这个字是并。"
305,"幸","[PINYIN_幸]","这个字是幸。"
306,"广","[PINYIN_广]","这个字是广。"
307,"床","chuáng","床很舒服。"
308,"底","[PINYIN_底]","这个字是底。"
309,"店","[PINYIN_店]","这个字是店。"
310,"座","[PINYIN_座]","这个字是座。"
311,"庭","[PINYIN_庭]","这个字是庭。"
312,"康","[PINYIN_康]","这个字是康。"
313,"延","[PINYIN_延]","这个字是延。"
314,"式","[PINYIN_式]","这个字是式。"
315,"引","[PINYIN_引]","这个字是引。"
316,"弟","[PINYIN_弟]","这个字是弟。"
317,"张","zhāng","一张纸。"
318,"弯","[PINYIN_弯]","这个字是弯。"
319,"录","[PINYIN_录]","这个字是录。"
320,"彩","[PINYIN_彩]","这个字是彩。"
321,"影","[PINYIN_影]","这个字是影。"
322,"往","[PINYIN_往]","这个字是往。"
323,"很","hěn","很好。"
324,"微","[PINYIN_微]","这个字是微。"
325,"志","[PINYIN_志]","这个字是志。"
326,"忙","[PINYIN_忙]","这个字是忙。"
327,"快","kuài","很快。"
328,"态","[PINYIN_态]","这个字是态。"
329,"怎","[PINYIN_怎]","这个字是怎。"
330,"思","[PINYIN_思]","这个字是思。"
331,"性","[PINYIN_性]","这个字是性。"
332,"怪","[PINYIN_怪]","这个字是怪。"
333,"总","[PINYIN_总]","这个字是总。"
334,"恐","[PINYIN_恐]","这个字是恐。"
335,"恤","[PINYIN_恤]","这个字是恤。"
336,"息","[PINYIN_息]","这个字是息。"
337,"恼","[PINYIN_恼]","这个字是恼。"
338,"悔","[PINYIN_悔]","这个字是悔。"
339,"您","[PINYIN_您]","这个字是您。"
340,"情","[PINYIN_情]","这个字是情。"
341,"惜","[PINYIN_惜]","这个字是惜。"
342,"想","xiǎng","我想你。"
343,"愉","[PINYIN_愉]","这个字是愉。"
344,"意","[PINYIN_意]","这个字是意。"
345,"感","[PINYIN_感]","这个字是感。"
346,"愿","[PINYIN_愿]","这个字是愿。"
347,"慈","[PINYIN_慈]","这个字是慈。"
348,"慢","màn","很慢。"
349,"憾","[PINYIN_憾]","这个字是憾。"
350,"成","[PINYIN_成]","这个字是成。"
351,"我","wǒ","我是学生。"
352,"戒","[PINYIN_戒]","这个字是戒。"
353,"或","huò","你或我。"
354,"户","[PINYIN_户]","这个字是户。"
355,"房","fáng","房子。"
356,"所","[PINYIN_所]","这个字是所。"
357,"才","[PINYIN_才]","这个字是才。"
358,"扎","[PINYIN_扎]","这个字是扎。"
359,"打","[PINYIN_打]","这个字是打。"
360,"托","[PINYIN_托]","这个字是托。"
361,"扫","[PINYIN_扫]","这个字是扫。"
362,"扮","[PINYIN_扮]","这个字是扮。"
363,"找","[PINYIN_找]","这个字是找。"
364,"技","[PINYIN_技]","这个字是技。"
365,"折","[PINYIN_折]","这个字是折。"
366,"护","[PINYIN_护]","这个字是护。"
367,"报","[PINYIN_报]","这个字是报。"
368,"担","[PINYIN_担]","这个字是担。"
369,"拥","[PINYIN_拥]","这个字是拥。"
370,"括","[PINYIN_括]","这个字是括。"
371,"持","[PINYIN_持]","这个字是持。"
372,"换","[PINYIN_换]","这个字是换。"
373,"据","[PINYIN_据]","这个字是据。"
374,"掌","[PINYIN_掌]","这个字是掌。"
375,"接","[PINYIN_接]","这个字是接。"
376,"握","[PINYIN_握]","这个字是握。"
377,"摄","[PINYIN_摄]","这个字是摄。"
378,"摇","[PINYIN_摇]","这个字是摇。"
379,"摩","[PINYIN_摩]","这个字是摩。"
380,"播","[PINYIN_播]","这个字是播。"
381,"政","[PINYIN_政]","这个字是政。"
382,"故","[PINYIN_故]","这个字是故。"
383,"救","[PINYIN_救]","这个字是救。"
384,"教","jiāo","教我。"
385,"散","[PINYIN_散]","这个字是散。"
386,"敬","[PINYIN_敬]","这个字是敬。"
387,"数","[PINYIN_数]","这个字是数。"
388,"整","[PINYIN_整]","这个字是整。"
389,"文","[PINYIN_文]","这个字是文。"
390,"断","[PINYIN_断]","这个字是断。"
391,"新","xīn","新书。"
392,"旁","[PINYIN_旁]","这个字是旁。"
393,"旅","[PINYIN_旅]","这个字是旅。"
394,"族","[PINYIN_族]","这个字是族。"
395,"旗","[PINYIN_旗]","这个字是旗。"
396,"日","rì","今天。"
397,"旧","jiù","旧书。"
398,"早","[PINYIN_早]","这个字是早。"
399,"时","shí","什么时候？"
400,"明","[PINYIN_明]","这个字是明。"
401,"易","[PINYIN_易]","这个字是易。"
402,"星","[PINYIN_星]","这个字是星。"
403,"昨","[PINYIN_昨]","这个字是昨。"
404,"是","shì","我是学生。"
405,"显","[PINYIN_显]","这个字是显。"
406,"晚","[PINYIN_晚]","这个字是晚。"
407,"晨","[PINYIN_晨]","这个字是晨。"
408,"普","[PINYIN_普]","这个字是普。"
409,"景","[PINYIN_景]","这个字是景。"
410,"暑","[PINYIN_暑]","这个字是暑。"
411,"暖","nuǎn","很暖。"
412,"曲","[PINYIN_曲]","这个字是曲。"
413,"替","[PINYIN_替]","这个字是替。"
414,"月","yuè","这个月。"
415,"有","yǒu","我有书。"
416,"朋","[PINYIN_朋]","这个字是朋。"
417,"服","[PINYIN_服]","这个字是服。"
418,"望","[PINYIN_望]","这个字是望。"
419,"期","[PINYIN_期]","这个字是期。"
420,"木","mù","木头。"
421,"未","[PINYIN_未]","这个字是未。"
422,"末","[PINYIN_末]","这个字是末。"
423,"术","[PINYIN_术]","这个字是术。"
424,"机","[PINYIN_机]","这个字是机。"
425,"杂","[PINYIN_杂]","这个字是杂。"
426,"李","[PINYIN_李]","这个字是李。"
427,"村","[PINYIN_村]","这个字是村。"
428,"来","lái","你来我家。"
429,"杭","[PINYIN_杭]","这个字是杭。"
430,"杯","[PINYIN_杯]","这个字是杯。"
431,"杰","[PINYIN_杰]","这个字是杰。"
432,"板","[PINYIN_板]","这个字是板。"
433,"极","[PINYIN_极]","这个字是极。"
434,"果","[PINYIN_果]","这个字是果。"
435,"染","[PINYIN_染]","这个字是染。"
436,"柜","[PINYIN_柜]","这个字是柜。"
437,"柿","[PINYIN_柿]","这个字是柿。"
438,"标","[PINYIN_标]","这个字是标。"
439,"树","[PINYIN_树]","这个字是树。"
440,"校","[PINYIN_校]","这个字是校。"
441,"格","[PINYIN_格]","这个字是格。"
442,"案","[PINYIN_案]","这个字是案。"
443,"桌","zhuō","桌子。"
444,"梦","[PINYIN_梦]","这个字是梦。"
445,"梯","[PINYIN_梯]","这个字是梯。"
446,"检","[PINYIN_检]","这个字是检。"
447,"棉","[PINYIN_棉]","这个字是棉。"
448,"植","[PINYIN_植]","这个字是植。"
449,"楚","[PINYIN_楚]","这个字是楚。"
450,"楼","[PINYIN_楼]","这个字是楼。"
451,"概","[PINYIN_概]","这个字是概。"
452,"欢","[PINYIN_欢]","这个字是欢。"
453,"款","[PINYIN_款]","这个字是款。"
454,"歉","[PINYIN_歉]","这个字是歉。"
455,"歌","[PINYIN_歌]","这个字是歌。"
456,"正","[PINYIN_正]","这个字是正。"
457,"武","[PINYIN_武]","这个字是武。"
458,"死","[PINYIN_死]","这个字是死。"
459,"母","[PINYIN_母]","这个字是母。"
460,"每","[PINYIN_每]","这个字是每。"
461,"毛","[PINYIN_毛]","这个字是毛。"
462,"毯","[PINYIN_毯]","这个字是毯。"
463,"民","[PINYIN_民]","这个字是民。"
464,"气","[PINYIN_气]","这个字是气。"
465,"氛","[PINYIN_氛]","这个字是氛。"
466,"水","shuǐ","清水。"
467,"永","[PINYIN_永]","这个字是永。"
468,"求","[PINYIN_求]","这个字是求。"
469,"汇","[PINYIN_汇]","这个字是汇。"
470,"汉","[PINYIN_汉]","这个字是汉。"
471,"江","[PINYIN_江]","这个字是江。"
472,"池","[PINYIN_池]","这个字是池。"
473,"污","[PINYIN_污]","这个字是污。"
474,"汤","[PINYIN_汤]","这个字是汤。"
475,"没","[PINYIN_没]","这个字是没。"
476,"河","[PINYIN_河]","这个字是河。"
477,"油","[PINYIN_油]","这个字是油。"
478,"法","[PINYIN_法]","这个字是法。"
479,"注","[PINYIN_注]","这个字是注。"
480,"泰","[PINYIN_泰]","这个字是泰。"
481,"洗","[PINYIN_洗]","这个字是洗。"
482,"济","[PINYIN_济]","这个字是济。"
483,"浪","[PINYIN_浪]","这个字是浪。"
484,"海","[PINYIN_海]","这个字是海。"
485,"消","[PINYIN_消]","这个字是消。"
486,"淋","[PINYIN_淋]","这个字是淋。"
487,"清","[PINYIN_清]","这个字是清。"
488,"温","[PINYIN_温]","这个字是温。"
489,"港","[PINYIN_港]","这个字是港。"
490,"游","[PINYIN_游]","这个字是游。"
491,"湾","[PINYIN_湾]","这个字是湾。"
492,"湿","shī","很湿。"
493,"滑","[PINYIN_滑]","这个字是滑。"
494,"满","[PINYIN_满]","这个字是满。"
495,"滨","[PINYIN_滨]","这个字是滨。"
496,"漂","[PINYIN_漂]","这个字是漂。"
497,"漆","[PINYIN_漆]","这个字是漆。"
498,"漠","[PINYIN_漠]","这个字是漠。"
499,"激","[PINYIN_激]","这个字是激。"
500,"火","huǒ","大火。"
501,"灸","[PINYIN_灸]","这个字是灸。"
502,"烛","[PINYIN_烛]","这个字是烛。"
503,"烟","[PINYIN_烟]","这个字是烟。"
504,"烦","[PINYIN_烦]","这个字是烦。"
505,"热","rè","很热。"
506,"然","[PINYIN_然]","这个字是然。"
507,"熊","[PINYIN_熊]","这个字是熊。"
508,"爬","[PINYIN_爬]","这个字是爬。"
509,"父","[PINYIN_父]","这个字是父。"
510,"爽","[PINYIN_爽]","这个字是爽。"
511,"牌","[PINYIN_牌]","这个字是牌。"
512,"牛","[PINYIN_牛]","这个字是牛。"
513,"物","[PINYIN_物]","这个字是物。"
514,"猫","[PINYIN_猫]","这个字是猫。"
515,"玩","[PINYIN_玩]","这个字是玩。"
516,"环","[PINYIN_环]","这个字是环。"
517,"现","[PINYIN_现]","这个字是现。"
518,"珍","[PINYIN_珍]","这个字是珍。"
519,"班","[PINYIN_班]","这个字是班。"
520,"球","[PINYIN_球]","这个字是球。"
521,"理","[PINYIN_理]","这个字是理。"
522,"琴","[PINYIN_琴]","这个字是琴。"
523,"琵","[PINYIN_琵]","这个字是琵。"
524,"琶","[PINYIN_琶]","这个字是琶。"
525,"瓜","[PINYIN_瓜]","这个字是瓜。"
526,"瓶","[PINYIN_瓶]","这个字是瓶。"
527,"瓷","[PINYIN_瓷]","这个字是瓷。"
528,"甚","[PINYIN_甚]","这个字是甚。"
529,"生","[PINYIN_生]","这个字是生。"
530,"用","[PINYIN_用]","这个字是用。"
531,"由","[PINYIN_由]","这个字是由。"
532,"申","[PINYIN_申]","这个字是申。"
533,"电","[PINYIN_电]","这个字是电。"
534,"画","[PINYIN_画]","这个字是画。"
535,"界","[PINYIN_界]","这个字是界。"
536,"留","[PINYIN_留]","这个字是留。"
537,"白","bái","白色。"
538,"的","de","这是我的书。"
539,"盒","[PINYIN_盒]","这个字是盒。"
540,"目","[PINYIN_目]","这个字是目。"
541,"直","[PINYIN_直]","这个字是直。"
542,"相","[PINYIN_相]","这个字是相。"
543,"盹","[PINYIN_盹]","这个字是盹。"
544,"看","kàn","我看书。"
545,"真","zhēn","真的。"
546,"眼","yǎn","眼睛。"
547,"睛","[PINYIN_睛]","这个字是睛。"
548,"睡","[PINYIN_睡]","这个字是睡。"
549,"知","[PINYIN_知]","这个字是知。"
550,"矩","[PINYIN_矩]","这个字是矩。"
551,"短","duǎn","很短。"
552,"石","[PINYIN_石]","这个字是石。"
553,"码","[PINYIN_码]","这个字是码。"
554,"研","[PINYIN_研]","这个字是研。"
555,"础","[PINYIN_础]","这个字是础。"
556,"硕","[PINYIN_硕]","这个字是硕。"
557,"硬","[PINYIN_硬]","这个字是硬。"
558,"碟","[PINYIN_碟]","这个字是碟。"
559,"磁","[PINYIN_磁]","这个字是磁。"
560,"示","[PINYIN_示]","这个字是示。"
561,"礼","[PINYIN_礼]","这个字是礼。"
562,"社","[PINYIN_社]","这个字是社。"
563,"祖","[PINYIN_祖]","这个字是祖。"
564,"祝","[PINYIN_祝]","这个字是祝。"
565,"神","[PINYIN_神]","这个字是神。"
566,"祥","[PINYIN_祥]","这个字是祥。"
567,"票","[PINYIN_票]","这个字是票。"
568,"福","[PINYIN_福]","这个字是福。"
569,"离","[PINYIN_离]","这个字是离。"
570,"科","[PINYIN_科]","这个字是科。"
571,"秘","[PINYIN_秘]","这个字是秘。"
572,"租","[PINYIN_租]","这个字是租。"
573,"积","[PINYIN_积]","这个字是积。"
574,"究","[PINYIN_究]","这个字是究。"
575,"突","[PINYIN_突]","这个字是突。"
576,"窗","chuāng","窗户。"
577,"立","[PINYIN_立]","这个字是立。"
578,"站","zhàn","我站着。"
579,"章","[PINYIN_章]","这个字是章。"
580,"笃","[PINYIN_笃]","这个字是笃。"
581,"笔","bǐ","笔很新。"
582,"等","[PINYIN_等]","这个字是等。"
583,"筑","[PINYIN_筑]","这个字是筑。"
584,"筒","[PINYIN_筒]","这个字是筒。"
585,"答","[PINYIN_答]","这个字是答。"
586,"筷","[PINYIN_筷]","这个字是筷。"
587,"简","[PINYIN_简]","这个字是简。"
588,"算","[PINYIN_算]","这个字是算。"
589,"箱","[PINYIN_箱]","这个字是箱。"
590,"籍","[PINYIN_籍]","这个字是籍。"
591,"米","[PINYIN_米]","这个字是米。"
592,"精","[PINYIN_精]","这个字是精。"
593,"糕","[PINYIN_糕]","这个字是糕。"
594,"糟","[PINYIN_糟]","这个字是糟。"
595,"紧","[PINYIN_紧]","这个字是紧。"
596,"累","[PINYIN_累]","这个字是累。"
597,"繁","[PINYIN_繁]","这个字是繁。"
598,"纠","[PINYIN_纠]","这个字是纠。"
599,"红","hóng","红色。"
600,"约","[PINYIN_约]","这个字是约。"
601,"线","[PINYIN_线]","这个字是线。"
602,"练","[PINYIN_练]","这个字是练。"
603,"组","[PINYIN_组]","这个字是组。"
604,"织","[PINYIN_织]","这个字是织。"
605,"终","[PINYIN_终]","这个字是终。"
606,"绍","[PINYIN_绍]","这个字是绍。"
607,"经","[PINYIN_经]","这个字是经。"
608,"给","[PINYIN_给]","这个字是给。"
609,"统","[PINYIN_统]","这个字是统。"
610,"继","[PINYIN_继]","这个字是继。"
