Character,Pinyin,Sentence,SentencePinyin
参,can,"这个字是参。","zhe ge zi shi can 。"
及,ji,"这个字是及。","zhe ge zi shi ji 。"
友,you,"这个字是友。","zhe ge zi shi you 。"
反,fan,"这个字是反。","zhe ge zi shi fan 。"
发,fa,"这个字是发。","zhe ge zi shi fa 。"
叔,shu,"这个字是叔。","zhe ge zi shi shu 。"
口,kǒu,"口很渴。","kou hen ke 。"
古,gu,"这个字是古。","zhe ge zi shi gu 。"
另,ling,"这个字是另。","zhe ge zi shi ling 。"
史,shi,"这个字是史。","zhe ge zi shi shi 。"
右,yòu,"右边。","you bian 。"
叶,ye,"这个字是叶。","zhe ge zi shi ye 。"
号,hao,"这个字是号。","zhe ge zi shi hao 。"
司,si,"这个字是司。","zhe ge zi shi si 。"
吃,chī,"我吃饭。","wo chi fan 。"
各,ge,"这个字是各。","zhe ge zi shi ge 。"
合,he,"这个字是合。","zhe ge zi shi he 。"
吉,ji,"这个字是吉。","zhe ge zi shi ji 。"
同,tong,"这个字是同。","zhe ge zi shi tong 。"
名,ming,"这个字是名。","zhe ge zi shi ming 。"
后,hòu,"后面。","hou mian 。"
吗,ma,"好吗？","hao ma ？"
吧,ba,"好吧。","hao ba 。"
听,tīng,"我听音乐。","wo ting yin yue 。"
吸,xi,"这个字是吸。","zhe ge zi shi xi 。"
呀,ya,"好呀。","hao ya 。"
告,gao,"这个字是告。","zhe ge zi shi gao 。"
员,yuan,"这个字是员。","zhe ge zi shi yuan 。"
呢,ne,"你呢？","ni ne ？"
命,ming,"这个字是命。","zhe ge zi shi ming 。"
和,hé,"我和你。","wo he ni 。"
咖,ka,"这个字是咖。","zhe ge zi shi ka 。"
咱,zan,"这个字是咱。","zhe ge zi shi zan 。"
品,pin,"这个字是品。","zhe ge zi shi pin 。"
哈,hā,"哈哈。","ha ha 。"
响,xiang,"这个字是响。","zhe ge zi shi xiang 。"
哎,ai,"这个字是哎。","zhe ge zi shi ai 。"
哥,ge,"这个字是哥。","zhe ge zi shi ge 。"
哪,na,"这个字是哪。","zhe ge zi shi na 。"
哲,zhe,"这个字是哲。","zhe ge zi shi zhe 。"
唱,chang,"这个字是唱。","zhe ge zi shi chang 。"
商,shang,"这个字是商。","zhe ge zi shi shang 。"
啡,fei,"这个字是啡。","zhe ge zi shi fei 。"
喘,chuan,"这个字是喘。","zhe ge zi shi chuan 。"
嗽,sou,"这个字是嗽。","zhe ge zi shi sou 。"
嘴,zui,"这个字是嘴。","zhe ge zi shi zui 。"
器,qi,"这个字是器。","zhe ge zi shi qi 。"
四,si,"这个字是四。","zhe ge zi shi si 。"
回,huí,"我回家。","wo hui jia 。"
因,yin,"这个字是因。","zhe ge zi shi yin 。"
团,tuan,"这个字是团。","zhe ge zi shi tuan 。"
园,yuan,"这个字是园。","zhe ge zi shi yuan 。"
困,kun,"这个字是困。","zhe ge zi shi kun 。"
国,guo,"这个字是国。","zhe ge zi shi guo 。"
图,tu,"这个字是图。","zhe ge zi shi tu 。"
圈,quan,"这个字是圈。","zhe ge zi shi quan 。"
土,tǔ,"土地。","tu di 。"
在,zài,"我在家。","wo zai jia 。"
场,chang,"这个字是场。","zhe ge zi shi chang 。"
圾,ji,"这个字是圾。","zhe ge zi shi ji 。"
址,zhi,"这个字是址。","zhe ge zi shi zhi 。"
均,jun,"这个字是均。","zhe ge zi shi jun 。"
坐,zuò,"我坐车。","wo zuo che 。"
块,kuai,"这个字是块。","zhe ge zi shi kuai 。"
坚,jian,"这个字是坚。","zhe ge zi shi jian 。"
垃,la,"这个字是垃。","zhe ge zi shi la 。"
基,ji,"这个字是基。","zhe ge zi shi ji 。"
堂,tang,"这个字是堂。","zhe ge zi shi tang 。"
堵,du,"这个字是堵。","zhe ge zi shi du 。"
境,jing,"这个字是境。","zhe ge zi shi jing 。"
墙,qiang,"这个字是墙。","zhe ge zi shi qiang 。"
增,zeng,"这个字是增。","zhe ge zi shi zeng 。"
壁,bi,"这个字是壁。","zhe ge zi shi bi 。"
士,shi,"这个字是士。","zhe ge zi shi shi 。"
处,chu,"这个字是处。","zhe ge zi shi chu 。"
备,bei,"这个字是备。","zhe ge zi shi bei 。"
复,fu,"这个字是复。","zhe ge zi shi fu 。"
外,wài,"外面。","wai mian 。"
多,duō,"很多书。","hen duo shu 。"
天,tiān,"今天。","jin tian 。"
太,tai,"这个字是太。","zhe ge zi shi tai 。"
夫,fu,"这个字是夫。","zhe ge zi shi fu 。"
失,shi,"这个字是失。","zhe ge zi shi shi 。"
头,tóu,"头发。","tou fa 。"
奇,qi,"这个字是奇。","zhe ge zi shi qi 。"
奏,zou,"这个字是奏。","zhe ge zi shi zou 。"
奖,jiang,"这个字是奖。","zhe ge zi shi jiang 。"
女,nü,"这个字是女。","zhe ge zi shi nü 。"
奶,nai,"这个字是奶。","zhe ge zi shi nai 。"
她,tā,"她是医生。","ta shi yi sheng 。"
好,hǎo,"你好。","ni hao 。"
如,ru,"这个字是如。","zhe ge zi shi ru 。"
妈,ma,"这个字是妈。","zhe ge zi shi ma 。"
妹,mei,"这个字是妹。","zhe ge zi shi mei 。"
妻,qi,"这个字是妻。","zhe ge zi shi qi 。"
始,shi,"这个字是始。","zhe ge zi shi shi 。"
姐,jie,"这个字是姐。","zhe ge zi shi jie 。"
姓,xing,"这个字是姓。","zhe ge zi shi xing 。"
姨,yi,"这个字是姨。","zhe ge zi shi yi 。"
娘,niang,"这个字是娘。","zhe ge zi shi niang 。"
婆,po,"这个字是婆。","zhe ge zi shi po 。"
婚,hun,"这个字是婚。","zhe ge zi shi hun 。"
子,zi,"这个字是子。","zhe ge zi shi zi 。"
孔,kong,"这个字是孔。","zhe ge zi shi kong 。"
字,zi,"这个字是字。","zhe ge zi shi zi 。"
孟,meng,"这个字是孟。","zhe ge zi shi meng 。"
季,ji,"这个字是季。","zhe ge zi shi ji 。"
学,xué,"我学习。","wo xue xi 。"
孩,hai,"这个字是孩。","zhe ge zi shi hai 。"
宅,zhai,"这个字是宅。","zhe ge zi shi zhai 。"
守,shou,"这个字是守。","zhe ge zi shi shou 。"
安,an,"这个字是安。","zhe ge zi shi an 。"
定,ding,"这个字是定。","zhe ge zi shi ding 。"
宝,bao,"这个字是宝。","zhe ge zi shi bao 。"
实,shi,"这个字是实。","zhe ge zi shi shi 。"
客,ke,"这个字是客。","zhe ge zi shi ke 。"
室,shi,"这个字是室。","zhe ge zi shi shi 。"
宫,gong,"这个字是宫。","zhe ge zi shi gong 。"
宴,yan,"这个字是宴。","zhe ge zi shi yan 。"
宵,xiao,"这个字是宵。","zhe ge zi shi xiao 。"
家,jiā,"我家。","wo jia 。"
容,rong,"这个字是容。","zhe ge zi shi rong 。"
宾,bin,"这个字是宾。","zhe ge zi shi bin 。"
宿,su,"这个字是宿。","zhe ge zi shi su 。"
密,mi,"这个字是密。","zhe ge zi shi mi 。"
富,fu,"这个字是富。","zhe ge zi shi fu 。"
寒,han,"这个字是寒。","zhe ge zi shi han 。"
察,cha,"这个字是察。","zhe ge zi shi cha 。"
导,dao,"这个字是导。","zhe ge zi shi dao 。"
将,jiang,"这个字是将。","zhe ge zi shi jiang 。"
尊,zun,"这个字是尊。","zhe ge zi shi zun 。"
小,xiǎo,"很小。","hen xiao 。"
尔,er,"这个字是尔。","zhe ge zi shi er 。"
尘,chen,"这个字是尘。","zhe ge zi shi chen 。"
尤,you,"这个字是尤。","zhe ge zi shi you 。"
就,jiù,"我就来。","wo jiu lai 。"
尽,jin,"这个字是尽。","zhe ge zi shi jin 。"
局,ju,"这个字是局。","zhe ge zi shi ju 。"
屉,ti,"这个字是屉。","zhe ge zi shi ti 。"
展,zhan,"这个字是展。","zhe ge zi shi zhan 。"
山,shān,"高山。","gao shan 。"
岁,sui,"这个字是岁。","zhe ge zi shi sui 。"
岛,dao,"这个字是岛。","zhe ge zi shi dao 。"
州,zhou,"这个字是州。","zhe ge zi shi zhou 。"
工,gong,"这个字是工。","zhe ge zi shi gong 。"
左,zuǒ,"左边。","zuo bian 。"
巧,qiao,"这个字是巧。","zhe ge zi shi qiao 。"
差,cha,"这个字是差。","zhe ge zi shi cha 。"
己,ji,"这个字是己。","zhe ge zi shi ji 。"
已,yi,"这个字是已。","zhe ge zi shi yi 。"
巴,ba,"这个字是巴。","zhe ge zi shi ba 。"
币,bi,"这个字是币。","zhe ge zi shi bi 。"
市,shi,"这个字是市。","zhe ge zi shi shi 。"
帅,shuai,"这个字是帅。","zhe ge zi shi shuai 。"
师,shi,"这个字是师。","zhe ge zi shi shi 。"
希,xi,"这个字是希。","zhe ge zi shi xi 。"
帮,bang,"这个字是帮。","zhe ge zi shi bang 。"
常,chang,"这个字是常。","zhe ge zi shi chang 。"
帽,mao,"这个字是帽。","zhe ge zi shi mao 。"
幕,mu,"这个字是幕。","zhe ge zi shi mu 。"
平,ping,"这个字是平。","zhe ge zi shi ping 。"
并,bing,"这个字是并。","zhe ge zi shi bing 。"
幸,xing,"这个字是幸。","zhe ge zi shi xing 。"
广,guang,"这个字是广。","zhe ge zi shi guang 。"
床,chuáng,"床很舒服。","chuang hen shu fu 。"
底,di,"这个字是底。","zhe ge zi shi di 。"
店,dian,"这个字是店。","zhe ge zi shi dian 。"
座,zuo,"这个字是座。","zhe ge zi shi zuo 。"
庭,ting,"这个字是庭。","zhe ge zi shi ting 。"
康,kang,"这个字是康。","zhe ge zi shi kang 。"
延,yan,"这个字是延。","zhe ge zi shi yan 。"
式,shi,"这个字是式。","zhe ge zi shi shi 。"
引,yin,"这个字是引。","zhe ge zi shi yin 。"
弟,di,"这个字是弟。","zhe ge zi shi di 。"
张,zhāng,"一张纸。","yi zhang zhi 。"
弯,wan,"这个字是弯。","zhe ge zi shi wan 。"
录,lu,"这个字是录。","zhe ge zi shi lu 。"
彩,cai,"这个字是彩。","zhe ge zi shi cai 。"
影,ying,"这个字是影。","zhe ge zi shi ying 。"
往,wang,"这个字是往。","zhe ge zi shi wang 。"
很,hěn,"很好。","hen hao 。"
微,wei,"这个字是微。","zhe ge zi shi wei 。"
志,zhi,"这个字是志。","zhe ge zi shi zhi 。"
忙,mang,"这个字是忙。","zhe ge zi shi mang 。"
快,kuài,"很快。","hen kuai 。"
态,tai,"这个字是态。","zhe ge zi shi tai 。"
怎,zen,"这个字是怎。","zhe ge zi shi zen 。"
思,si,"这个字是思。","zhe ge zi shi si 。"
性,xing,"这个字是性。","zhe ge zi shi xing 。"
怪,guai,"这个字是怪。","zhe ge zi shi guai 。"
总,zong,"这个字是总。","zhe ge zi shi zong 。"
恐,kong,"这个字是恐。","zhe ge zi shi kong 。"
恤,xu,"这个字是恤。","zhe ge zi shi xu 。"
息,xi,"这个字是息。","zhe ge zi shi xi 。"
恼,nao,"这个字是恼。","zhe ge zi shi nao 。"
悔,hui,"这个字是悔。","zhe ge zi shi hui 。"
您,nin,"这个字是您。","zhe ge zi shi nin 。"
情,qing,"这个字是情。","zhe ge zi shi qing 。"
惜,xi,"这个字是惜。","zhe ge zi shi xi 。"
想,xiǎng,"我想你。","wo xiang ni 。"
愉,yu,"这个字是愉。","zhe ge zi shi yu 。"
意,yi,"这个字是意。","zhe ge zi shi yi 。"
感,gan,"这个字是感。","zhe ge zi shi gan 。"
愿,yuan,"这个字是愿。","zhe ge zi shi yuan 。"
慈,ci,"这个字是慈。","zhe ge zi shi ci 。"
慢,màn,"很慢。","hen man 。"
憾,han,"这个字是憾。","zhe ge zi shi han 。"
成,cheng,"这个字是成。","zhe ge zi shi cheng 。"
我,wǒ,"我是学生。","wo shi xue sheng 。"
戒,jie,"这个字是戒。","zhe ge zi shi jie 。"
或,huò,"你或我。","ni huo wo 。"
户,hu,"这个字是户。","zhe ge zi shi hu 。"
房,fáng,"房子。","fang zi 。"
所,suo,"这个字是所。","zhe ge zi shi suo 。"
才,cai,"这个字是才。","zhe ge zi shi cai 。"
扎,zha,"这个字是扎。","zhe ge zi shi zha 。"
打,da,"这个字是打。","zhe ge zi shi da 。"
托,tuo,"这个字是托。","zhe ge zi shi tuo 。"
扫,sao,"这个字是扫。","zhe ge zi shi sao 。"
扮,ban,"这个字是扮。","zhe ge zi shi ban 。"
找,zhao,"这个字是找。","zhe ge zi shi zhao 。"
技,ji,"这个字是技。","zhe ge zi shi ji 。"
折,zhe,"这个字是折。","zhe ge zi shi zhe 。"
护,hu,"这个字是护。","zhe ge zi shi hu 。"
报,bao,"这个字是报。","zhe ge zi shi bao 。"
担,dan,"这个字是担。","zhe ge zi shi dan 。"
拥,yong,"这个字是拥。","zhe ge zi shi yong 。"
括,kuo,"这个字是括。","zhe ge zi shi kuo 。"
持,chi,"这个字是持。","zhe ge zi shi chi 。"
换,huan,"这个字是换。","zhe ge zi shi huan 。"
据,ju,"这个字是据。","zhe ge zi shi ju 。"
掌,zhang,"这个字是掌。","zhe ge zi shi zhang 。"
接,jie,"这个字是接。","zhe ge zi shi jie 。"
握,wo,"这个字是握。","zhe ge zi shi wo 。"
摄,she,"这个字是摄。","zhe ge zi shi she 。"
摇,yao,"这个字是摇。","zhe ge zi shi yao 。"
摩,mo,"这个字是摩。","zhe ge zi shi mo 。"
播,bo,"这个字是播。","zhe ge zi shi bo 。"
政,zheng,"这个字是政。","zhe ge zi shi zheng 。"
故,gu,"这个字是故。","zhe ge zi shi gu 。"
救,jiu,"这个字是救。","zhe ge zi shi jiu 。"
教,jiāo,"教我。","jiao wo 。"
散,san,"这个字是散。","zhe ge zi shi san 。"
敬,jing,"这个字是敬。","zhe ge zi shi jing 。"
数,shu,"这个字是数。","zhe ge zi shi shu 。"
整,zheng,"这个字是整。","zhe ge zi shi zheng 。"
文,wen,"这个字是文。","zhe ge zi shi wen 。"
断,duan,"这个字是断。","zhe ge zi shi duan 。"
新,xīn,"新书。","xin shu 。"
旁,pang,"这个字是旁。","zhe ge zi shi pang 。"
旅,lü,"这个字是旅。","zhe ge zi shi lü 。"
族,zu,"这个字是族。","zhe ge zi shi zu 。"
旗,qi,"这个字是旗。","zhe ge zi shi qi 。"
日,rì,"今天。","jin tian 。"
旧,jiù,"旧书。","jiu shu 。"
早,zao,"这个字是早。","zhe ge zi shi zao 。"
时,shí,"什么时候？","shen me shi hou ？"
明,ming,"这个字是明。","zhe ge zi shi ming 。"
易,yi,"这个字是易。","zhe ge zi shi yi 。"
星,xing,"这个字是星。","zhe ge zi shi xing 。"
昨,zuo,"这个字是昨。","zhe ge zi shi zuo 。"
是,shì,"我是学生。","wo shi xue sheng 。"
显,xian,"这个字是显。","zhe ge zi shi xian 。"
晚,wan,"这个字是晚。","zhe ge zi shi wan 。"
晨,chen,"这个字是晨。","zhe ge zi shi chen 。"
普,pu,"这个字是普。","zhe ge zi shi pu 。"
景,jing,"这个字是景。","zhe ge zi shi jing 。"
暑,shu,"这个字是暑。","zhe ge zi shi shu 。"
暖,nuǎn,"很暖。","hen nuan 。"
曲,qu,"这个字是曲。","zhe ge zi shi qu 。"
替,ti,"这个字是替。","zhe ge zi shi ti 。"
月,yuè,"这个月。","zhe ge yue 。"
有,yǒu,"我有书。","wo you shu 。"
朋,peng,"这个字是朋。","zhe ge zi shi peng 。"
服,fu,"这个字是服。","zhe ge zi shi fu 。"
望,wang,"这个字是望。","zhe ge zi shi wang 。"
期,qi,"这个字是期。","zhe ge zi shi qi 。"
木,mù,"木头。","mu tou 。"
未,wei,"这个字是未。","zhe ge zi shi wei 。"
末,mo,"这个字是末。","zhe ge zi shi mo 。"
术,shu,"这个字是术。","zhe ge zi shi shu 。"
机,ji,"这个字是机。","zhe ge zi shi ji 。"
杂,za,"这个字是杂。","zhe ge zi shi za 。"
李,li,"这个字是李。","zhe ge zi shi li 。"
村,cun,"这个字是村。","zhe ge zi shi cun 。"
来,lái,"你来我家。","ni lai wo jia 。"
杭,hang,"这个字是杭。","zhe ge zi shi hang 。"
杯,bei,"这个字是杯。","zhe ge zi shi bei 。"
杰,jie,"这个字是杰。","zhe ge zi shi jie 。"
板,ban,"这个字是板。","zhe ge zi shi ban 。"
极,ji,"这个字是极。","zhe ge zi shi ji 。"
果,guo,"这个字是果。","zhe ge zi shi guo 。"
染,ran,"这个字是染。","zhe ge zi shi ran 。"
柜,gui,"这个字是柜。","zhe ge zi shi gui 。"
柿,shi,"这个字是柿。","zhe ge zi shi shi 。"
标,biao,"这个字是标。","zhe ge zi shi biao 。"
树,shu,"这个字是树。","zhe ge zi shi shu 。"
校,xiao,"这个字是校。","zhe ge zi shi xiao 。"
格,ge,"这个字是格。","zhe ge zi shi ge 。"
案,an,"这个字是案。","zhe ge zi shi an 。"
桌,zhuō,"桌子。","zhuo zi 。"
梦,meng,"这个字是梦。","zhe ge zi shi meng 。"
梯,ti,"这个字是梯。","zhe ge zi shi ti 。"
检,jian,"这个字是检。","zhe ge zi shi jian 。"
棉,mian,"这个字是棉。","zhe ge zi shi mian 。"
植,zhi,"这个字是植。","zhe ge zi shi zhi 。"
楚,chu,"这个字是楚。","zhe ge zi shi chu 。"
楼,lou,"这个字是楼。","zhe ge zi shi lou 。"
概,gai,"这个字是概。","zhe ge zi shi gai 。"
欢,huan,"这个字是欢。","zhe ge zi shi huan 。"
款,kuan,"这个字是款。","zhe ge zi shi kuan 。"
歉,qian,"这个字是歉。","zhe ge zi shi qian 。"
歌,ge,"这个字是歌。","zhe ge zi shi ge 。"
正,zheng,"这个字是正。","zhe ge zi shi zheng 。"
武,wu,"这个字是武。","zhe ge zi shi wu 。"
死,si,"这个字是死。","zhe ge zi shi si 。"
母,mu,"这个字是母。","zhe ge zi shi mu 。"
每,mei,"这个字是每。","zhe ge zi shi mei 。"
毛,mao,"这个字是毛。","zhe ge zi shi mao 。"
毯,tan,"这个字是毯。","zhe ge zi shi tan 。"
民,min,"这个字是民。","zhe ge zi shi min 。"
气,qi,"这个字是气。","zhe ge zi shi qi 。"
氛,fen,"这个字是氛。","zhe ge zi shi fen 。"
水,shuǐ,"清水。","qing shui 。"
永,yong,"这个字是永。","zhe ge zi shi yong 。"
求,qiu,"这个字是求。","zhe ge zi shi qiu 。"
汇,hui,"这个字是汇。","zhe ge zi shi hui 。"
汉,han,"这个字是汉。","zhe ge zi shi han 。"
江,jiang,"这个字是江。","zhe ge zi shi jiang 。"
池,chi,"这个字是池。","zhe ge zi shi chi 。"
污,wu,"这个字是污。","zhe ge zi shi wu 。"
汤,tang,"这个字是汤。","zhe ge zi shi tang 。"
没,mei,"这个字是没。","zhe ge zi shi mei 。"
河,he,"这个字是河。","zhe ge zi shi he 。"
油,you,"这个字是油。","zhe ge zi shi you 。"
法,fa,"这个字是法。","zhe ge zi shi fa 。"
注,zhu,"这个字是注。","zhe ge zi shi zhu 。"
泰,tai,"这个字是泰。","zhe ge zi shi tai 。"
洗,xi,"这个字是洗。","zhe ge zi shi xi 。"
济,ji,"这个字是济。","zhe ge zi shi ji 。"
浪,lang,"这个字是浪。","zhe ge zi shi lang 。"
海,hai,"这个字是海。","zhe ge zi shi hai 。"
消,xiao,"这个字是消。","zhe ge zi shi xiao 。"
淋,lin,"这个字是淋。","zhe ge zi shi lin 。"
清,qing,"这个字是清。","zhe ge zi shi qing 。"
温,wen,"这个字是温。","zhe ge zi shi wen 。"
港,gang,"这个字是港。","zhe ge zi shi gang 。"
游,you,"这个字是游。","zhe ge zi shi you 。"
湾,wan,"这个字是湾。","zhe ge zi shi wan 。"
湿,shī,"很湿。","hen shi 。"
滑,hua,"这个字是滑。","zhe ge zi shi hua 。"
满,man,"这个字是满。","zhe ge zi shi man 。"
滨,bin,"这个字是滨。","zhe ge zi shi bin 。"
漂,piao,"这个字是漂。","zhe ge zi shi piao 。"
漆,qi,"这个字是漆。","zhe ge zi shi qi 。"
漠,mo,"这个字是漠。","zhe ge zi shi mo 。"
激,ji,"这个字是激。","zhe ge zi shi ji 。"
火,huǒ,"大火。","da huo 。"
灸,jiu,"这个字是灸。","zhe ge zi shi jiu 。"
烛,zhu,"这个字是烛。","zhe ge zi shi zhu 。"
烟,yan,"这个字是烟。","zhe ge zi shi yan 。"
