Index,Character,Pinyin,Needs_Lookup
51,"件","[PINYIN_FOR_件]",true
52,"价","[PINYIN_FOR_价]",true
53,"任","[PINYIN_FOR_任]",true
54,"份","[PINYIN_FOR_份]",true
55,"企","[PINYIN_FOR_企]",true
56,"休","[PINYIN_FOR_休]",true
57,"优","[PINYIN_FOR_优]",true
58,"伙","[PINYIN_FOR_伙]",true
59,"会","[PINYIN_FOR_会]",true
60,"伟","[PINYIN_FOR_伟]",true
61,"传","[PINYIN_FOR_传]",true
62,"似","[PINYIN_FOR_似]",true
63,"但","[PINYIN_FOR_但]",true
64,"位","[PINYIN_FOR_位]",true
65,"住","[PINYIN_FOR_住]",true
66,"体","[PINYIN_FOR_体]",true
67,"何","[PINYIN_FOR_何]",true
68,"作","[PINYIN_FOR_作]",true
69,"你","[PINYIN_FOR_你]",true
70,"使","[PINYIN_FOR_使]",true
71,"供","[PINYIN_FOR_供]",true
72,"便","[PINYIN_FOR_便]",true
73,"俑","[PINYIN_FOR_俑]",true
74,"俗","[PINYIN_FOR_俗]",true
75,"保","[PINYIN_FOR_保]",true
76,"信","[PINYIN_FOR_信]",true
77,"候","[PINYIN_FOR_候]",true
78,"假","[PINYIN_FOR_假]",true
79,"健","[PINYIN_FOR_健]",true
80,"傅","[PINYIN_FOR_傅]",true
81,"傲","[PINYIN_FOR_傲]",true
82,"像","[PINYIN_FOR_像]",true
83,"儿","[PINYIN_FOR_儿]",true
84,"元","[PINYIN_FOR_元]",true
85,"兑","[PINYIN_FOR_兑]",true
86,"全","[PINYIN_FOR_全]",true
87,"八","[PINYIN_FOR_八]",true
88,"公","[PINYIN_FOR_公]",true
89,"关","[PINYIN_FOR_关]",true
90,"兴","[PINYIN_FOR_兴]",true
91,"兵","[PINYIN_FOR_兵]",true
92,"其","[PINYIN_FOR_其]",true
93,"典","[PINYIN_FOR_典]",true
94,"再","[PINYIN_FOR_再]",true
95,"冒","[PINYIN_FOR_冒]",true
96,"写","[PINYIN_FOR_写]",true
97,"农","[PINYIN_FOR_农]",true
98,"冬","[PINYIN_FOR_冬]",true
99,"冰","[PINYIN_FOR_冰]",true
100,"决","[PINYIN_FOR_决]",true
101,"况","[PINYIN_FOR_况]",true
102,"准","[PINYIN_FOR_准]",true
103,"几","[PINYIN_FOR_几]",true
104,"出","[PINYIN_FOR_出]",true
105,"划","[PINYIN_FOR_划]",true
106,"列","[PINYIN_FOR_列]",true
107,"则","[PINYIN_FOR_则]",true
108,"刚","[PINYIN_FOR_刚]",true
109,"利","[PINYIN_FOR_利]",true
110,"别","[PINYIN_FOR_别]",true
111,"到","[PINYIN_FOR_到]",true
112,"前","[PINYIN_FOR_前]",true
113,"剧","[PINYIN_FOR_剧]",true
114,"力","[PINYIN_FOR_力]",true
115,"功","[PINYIN_FOR_功]",true
116,"务","[PINYIN_FOR_务]",true
117,"助","[PINYIN_FOR_助]",true
118,"努","[PINYIN_FOR_努]",true
119,"劳","[PINYIN_FOR_劳]",true
120,"包","[PINYIN_FOR_包]",true
121,"化","[PINYIN_FOR_化]",true
122,"北","[PINYIN_FOR_北]",true
123,"匙","[PINYIN_FOR_匙]",true
124,"医","[PINYIN_FOR_医]",true
125,"十","[PINYIN_FOR_十]",true
126,"午","[PINYIN_FOR_午]",true
127,"半","[PINYIN_FOR_半]",true
128,"协","[PINYIN_FOR_协]",true
129,"南","[PINYIN_FOR_南]",true
130,"博","[PINYIN_FOR_博]",true
131,"卡","[PINYIN_FOR_卡]",true
132,"卦","[PINYIN_FOR_卦]",true
133,"卧","[PINYIN_FOR_卧]",true
134,"卫","[PINYIN_FOR_卫]",true
135,"印","[PINYIN_FOR_印]",true
136,"危","[PINYIN_FOR_危]",true
137,"即","[PINYIN_FOR_即]",true
138,"卷","[PINYIN_FOR_卷]",true
139,"厂","[PINYIN_FOR_厂]",true
140,"历","[PINYIN_FOR_历]",true
141,"原","[PINYIN_FOR_原]",true
142,"去","[PINYIN_FOR_去]",true
143,"参","[PINYIN_FOR_参]",true
144,"及","[PINYIN_FOR_及]",true
145,"友","[PINYIN_FOR_友]",true
146,"反","[PINYIN_FOR_反]",true
147,"发","[PINYIN_FOR_发]",true
148,"叔","[PINYIN_FOR_叔]",true
149,"口","[PINYIN_FOR_口]",true
150,"古","[PINYIN_FOR_古]",true
151,"另","[PINYIN_FOR_另]",true
152,"史","[PINYIN_FOR_史]",true
153,"右","[PINYIN_FOR_右]",true
154,"叶","[PINYIN_FOR_叶]",true
155,"号","[PINYIN_FOR_号]",true
156,"司","[PINYIN_FOR_司]",true
157,"吃","[PINYIN_FOR_吃]",true
158,"各","[PINYIN_FOR_各]",true
159,"合","[PINYIN_FOR_合]",true
160,"吉","[PINYIN_FOR_吉]",true
161,"同","[PINYIN_FOR_同]",true
162,"名","[PINYIN_FOR_名]",true
163,"后","[PINYIN_FOR_后]",true
164,"吗","[PINYIN_FOR_吗]",true
165,"吧","[PINYIN_FOR_吧]",true
166,"听","[PINYIN_FOR_听]",true
167,"吸","[PINYIN_FOR_吸]",true
168,"呀","[PINYIN_FOR_呀]",true
169,"告","[PINYIN_FOR_告]",true
170,"员","[PINYIN_FOR_员]",true
171,"呢","[PINYIN_FOR_呢]",true
172,"命","[PINYIN_FOR_命]",true
173,"和","[PINYIN_FOR_和]",true
174,"咖","[PINYIN_FOR_咖]",true
175,"咱","[PINYIN_FOR_咱]",true
176,"品","[PINYIN_FOR_品]",true
177,"哈","[PINYIN_FOR_哈]",true
178,"响","[PINYIN_FOR_响]",true
179,"哎","[PINYIN_FOR_哎]",true
180,"哥","[PINYIN_FOR_哥]",true
181,"哪","[PINYIN_FOR_哪]",true
182,"哲","[PINYIN_FOR_哲]",true
183,"唱","[PINYIN_FOR_唱]",true
184,"商","[PINYIN_FOR_商]",true
185,"啡","[PINYIN_FOR_啡]",true
186,"喘","[PINYIN_FOR_喘]",true
187,"嗽","[PINYIN_FOR_嗽]",true
188,"嘴","[PINYIN_FOR_嘴]",true
189,"器","[PINYIN_FOR_器]",true
190,"四","[PINYIN_FOR_四]",true
191,"回","[PINYIN_FOR_回]",true
192,"因","[PINYIN_FOR_因]",true
193,"团","[PINYIN_FOR_团]",true
194,"园","[PINYIN_FOR_园]",true
195,"困","[PINYIN_FOR_困]",true
196,"国","[PINYIN_FOR_国]",true
197,"图","[PINYIN_FOR_图]",true
198,"圈","[PINYIN_FOR_圈]",true
199,"土","[PINYIN_FOR_土]",true
200,"在","[PINYIN_FOR_在]",true
201,"场","[PINYIN_FOR_场]",true
202,"圾","[PINYIN_FOR_圾]",true
203,"址","[PINYIN_FOR_址]",true
204,"均","[PINYIN_FOR_均]",true
205,"坐","[PINYIN_FOR_坐]",true
206,"块","[PINYIN_FOR_块]",true
207,"坚","[PINYIN_FOR_坚]",true
208,"垃","[PINYIN_FOR_垃]",true
209,"基","[PINYIN_FOR_基]",true
210,"堂","[PINYIN_FOR_堂]",true
211,"堵","[PINYIN_FOR_堵]",true
212,"境","[PINYIN_FOR_境]",true
213,"墙","[PINYIN_FOR_墙]",true
214,"增","[PINYIN_FOR_增]",true
215,"壁","[PINYIN_FOR_壁]",true
216,"士","[PINYIN_FOR_士]",true
217,"处","[PINYIN_FOR_处]",true
218,"备","[PINYIN_FOR_备]",true
219,"复","[PINYIN_FOR_复]",true
220,"外","[PINYIN_FOR_外]",true
221,"多","[PINYIN_FOR_多]",true
222,"天","[PINYIN_FOR_天]",true
223,"太","[PINYIN_FOR_太]",true
224,"夫","[PINYIN_FOR_夫]",true
225,"失","[PINYIN_FOR_失]",true
226,"头","[PINYIN_FOR_头]",true
227,"奇","[PINYIN_FOR_奇]",true
228,"奏","[PINYIN_FOR_奏]",true
229,"奖","[PINYIN_FOR_奖]",true
230,"女","[PINYIN_FOR_女]",true
231,"奶","[PINYIN_FOR_奶]",true
232,"她","[PINYIN_FOR_她]",true
233,"好","[PINYIN_FOR_好]",true
234,"如","[PINYIN_FOR_如]",true
235,"妈","[PINYIN_FOR_妈]",true
236,"妹","[PINYIN_FOR_妹]",true
237,"妻","[PINYIN_FOR_妻]",true
238,"始","[PINYIN_FOR_始]",true
239,"姐","[PINYIN_FOR_姐]",true
240,"姓","[PINYIN_FOR_姓]",true
241,"姨","[PINYIN_FOR_姨]",true
242,"娘","[PINYIN_FOR_娘]",true
243,"婆","[PINYIN_FOR_婆]",true
244,"婚","[PINYIN_FOR_婚]",true
245,"子","[PINYIN_FOR_子]",true
246,"孔","[PINYIN_FOR_孔]",true
247,"字","[PINYIN_FOR_字]",true
248,"孟","[PINYIN_FOR_孟]",true
249,"季","[PINYIN_FOR_季]",true
250,"学","[PINYIN_FOR_学]",true
251,"孩","[PINYIN_FOR_孩]",true
252,"宅","[PINYIN_FOR_宅]",true
253,"守","[PINYIN_FOR_守]",true
254,"安","[PINYIN_FOR_安]",true
255,"定","[PINYIN_FOR_定]",true
256,"宝","[PINYIN_FOR_宝]",true
257,"实","[PINYIN_FOR_实]",true
258,"客","[PINYIN_FOR_客]",true
259,"室","[PINYIN_FOR_室]",true
260,"宫","[PINYIN_FOR_宫]",true
261,"宴","[PINYIN_FOR_宴]",true
262,"宵","[PINYIN_FOR_宵]",true
263,"家","[PINYIN_FOR_家]",true
264,"容","[PINYIN_FOR_容]",true
265,"宾","[PINYIN_FOR_宾]",true
266,"宿","[PINYIN_FOR_宿]",true
267,"密","[PINYIN_FOR_密]",true
268,"富","[PINYIN_FOR_富]",true
269,"寒","[PINYIN_FOR_寒]",true
270,"察","[PINYIN_FOR_察]",true
271,"导","[PINYIN_FOR_导]",true
272,"将","[PINYIN_FOR_将]",true
273,"尊","[PINYIN_FOR_尊]",true
274,"小","[PINYIN_FOR_小]",true
275,"尔","[PINYIN_FOR_尔]",true
276,"尘","[PINYIN_FOR_尘]",true
277,"尤","[PINYIN_FOR_尤]",true
278,"就","[PINYIN_FOR_就]",true
279,"尽","[PINYIN_FOR_尽]",true
280,"局","[PINYIN_FOR_局]",true
281,"屉","[PINYIN_FOR_屉]",true
282,"展","[PINYIN_FOR_展]",true
283,"山","[PINYIN_FOR_山]",true
284,"岁","[PINYIN_FOR_岁]",true
285,"岛","[PINYIN_FOR_岛]",true
286,"州","[PINYIN_FOR_州]",true
287,"工","[PINYIN_FOR_工]",true
288,"左","[PINYIN_FOR_左]",true
289,"巧","[PINYIN_FOR_巧]",true
290,"差","[PINYIN_FOR_差]",true
291,"己","[PINYIN_FOR_己]",true
292,"已","[PINYIN_FOR_已]",true
293,"巴","[PINYIN_FOR_巴]",true
294,"币","[PINYIN_FOR_币]",true
295,"市","[PINYIN_FOR_市]",true
296,"帅","[PINYIN_FOR_帅]",true
297,"师","[PINYIN_FOR_师]",true
298,"希","[PINYIN_FOR_希]",true
299,"帮","[PINYIN_FOR_帮]",true
300,"常","[PINYIN_FOR_常]",true
301,"帽","[PINYIN_FOR_帽]",true
302,"幕","[PINYIN_FOR_幕]",true
303,"平","[PINYIN_FOR_平]",true
304,"并","[PINYIN_FOR_并]",true
305,"幸","[PINYIN_FOR_幸]",true
306,"广","[PINYIN_FOR_广]",true
307,"床","[PINYIN_FOR_床]",true
308,"底","[PINYIN_FOR_底]",true
309,"店","[PINYIN_FOR_店]",true
310,"座","[PINYIN_FOR_座]",true
311,"庭","[PINYIN_FOR_庭]",true
312,"康","[PINYIN_FOR_康]",true
313,"延","[PINYIN_FOR_延]",true
314,"式","[PINYIN_FOR_式]",true
315,"引","[PINYIN_FOR_引]",true
316,"弟","[PINYIN_FOR_弟]",true
317,"张","[PINYIN_FOR_张]",true
318,"弯","[PINYIN_FOR_弯]",true
319,"录","[PINYIN_FOR_录]",true
320,"彩","[PINYIN_FOR_彩]",true
321,"影","[PINYIN_FOR_影]",true
322,"往","[PINYIN_FOR_往]",true
323,"很","[PINYIN_FOR_很]",true
324,"微","[PINYIN_FOR_微]",true
325,"志","[PINYIN_FOR_志]",true
326,"忙","[PINYIN_FOR_忙]",true
327,"快","[PINYIN_FOR_快]",true
328,"态","[PINYIN_FOR_态]",true
329,"怎","[PINYIN_FOR_怎]",true
330,"思","[PINYIN_FOR_思]",true
331,"性","[PINYIN_FOR_性]",true
332,"怪","[PINYIN_FOR_怪]",true
333,"总","[PINYIN_FOR_总]",true
334,"恐","[PINYIN_FOR_恐]",true
335,"恤","[PINYIN_FOR_恤]",true
336,"息","[PINYIN_FOR_息]",true
337,"恼","[PINYIN_FOR_恼]",true
338,"悔","[PINYIN_FOR_悔]",true
339,"您","[PINYIN_FOR_您]",true
340,"情","[PINYIN_FOR_情]",true
341,"惜","[PINYIN_FOR_惜]",true
342,"想","[PINYIN_FOR_想]",true
343,"愉","[PINYIN_FOR_愉]",true
344,"意","[PINYIN_FOR_意]",true
345,"感","[PINYIN_FOR_感]",true
346,"愿","[PINYIN_FOR_愿]",true
347,"慈","[PINYIN_FOR_慈]",true
348,"慢","[PINYIN_FOR_慢]",true
349,"憾","[PINYIN_FOR_憾]",true
350,"成","[PINYIN_FOR_成]",true
351,"我","[PINYIN_FOR_我]",true
352,"戒","[PINYIN_FOR_戒]",true
353,"或","[PINYIN_FOR_或]",true
354,"户","[PINYIN_FOR_户]",true
355,"房","[PINYIN_FOR_房]",true
356,"所","[PINYIN_FOR_所]",true
357,"才","[PINYIN_FOR_才]",true
358,"扎","[PINYIN_FOR_扎]",true
359,"打","[PINYIN_FOR_打]",true
360,"托","[PINYIN_FOR_托]",true
361,"扫","[PINYIN_FOR_扫]",true
362,"扮","[PINYIN_FOR_扮]",true
363,"找","[PINYIN_FOR_找]",true
364,"技","[PINYIN_FOR_技]",true
365,"折","[PINYIN_FOR_折]",true
366,"护","[PINYIN_FOR_护]",true
367,"报","[PINYIN_FOR_报]",true
368,"担","[PINYIN_FOR_担]",true
369,"拥","[PINYIN_FOR_拥]",true
370,"括","[PINYIN_FOR_括]",true
371,"持","[PINYIN_FOR_持]",true
372,"换","[PINYIN_FOR_换]",true
373,"据","[PINYIN_FOR_据]",true
374,"掌","[PINYIN_FOR_掌]",true
375,"接","[PINYIN_FOR_接]",true
376,"握","[PINYIN_FOR_握]",true
377,"摄","[PINYIN_FOR_摄]",true
378,"摇","[PINYIN_FOR_摇]",true
379,"摩","[PINYIN_FOR_摩]",true
380,"播","[PINYIN_FOR_播]",true
381,"政","[PINYIN_FOR_政]",true
382,"故","[PINYIN_FOR_故]",true
383,"救","[PINYIN_FOR_救]",true
384,"教","[PINYIN_FOR_教]",true
385,"散","[PINYIN_FOR_散]",true
386,"敬","[PINYIN_FOR_敬]",true
387,"数","[PINYIN_FOR_数]",true
388,"整","[PINYIN_FOR_整]",true
389,"文","[PINYIN_FOR_文]",true
390,"断","[PINYIN_FOR_断]",true
391,"新","[PINYIN_FOR_新]",true
392,"旁","[PINYIN_FOR_旁]",true
393,"旅","[PINYIN_FOR_旅]",true
394,"族","[PINYIN_FOR_族]",true
395,"旗","[PINYIN_FOR_旗]",true
396,"日","[PINYIN_FOR_日]",true
397,"旧","[PINYIN_FOR_旧]",true
398,"早","[PINYIN_FOR_早]",true
399,"时","[PINYIN_FOR_时]",true
400,"明","[PINYIN_FOR_明]",true
401,"易","[PINYIN_FOR_易]",true
402,"星","[PINYIN_FOR_星]",true
403,"昨","[PINYIN_FOR_昨]",true
404,"是","[PINYIN_FOR_是]",true
405,"显","[PINYIN_FOR_显]",true
406,"晚","[PINYIN_FOR_晚]",true
407,"晨","[PINYIN_FOR_晨]",true
408,"普","[PINYIN_FOR_普]",true
409,"景","[PINYIN_FOR_景]",true
410,"暑","[PINYIN_FOR_暑]",true
411,"暖","[PINYIN_FOR_暖]",true
412,"曲","[PINYIN_FOR_曲]",true
413,"替","[PINYIN_FOR_替]",true
414,"月","[PINYIN_FOR_月]",true
415,"有","[PINYIN_FOR_有]",true
416,"朋","[PINYIN_FOR_朋]",true
417,"服","[PINYIN_FOR_服]",true
418,"望","[PINYIN_FOR_望]",true
419,"期","[PINYIN_FOR_期]",true
420,"木","[PINYIN_FOR_木]",true
421,"未","[PINYIN_FOR_未]",true
422,"末","[PINYIN_FOR_末]",true
423,"术","[PINYIN_FOR_术]",true
424,"机","[PINYIN_FOR_机]",true
425,"杂","[PINYIN_FOR_杂]",true
426,"李","[PINYIN_FOR_李]",true
427,"村","[PINYIN_FOR_村]",true
428,"来","[PINYIN_FOR_来]",true
429,"杭","[PINYIN_FOR_杭]",true
430,"杯","[PINYIN_FOR_杯]",true
431,"杰","[PINYIN_FOR_杰]",true
432,"板","[PINYIN_FOR_板]",true
433,"极","[PINYIN_FOR_极]",true
434,"果","[PINYIN_FOR_果]",true
435,"染","[PINYIN_FOR_染]",true
436,"柜","[PINYIN_FOR_柜]",true
437,"柿","[PINYIN_FOR_柿]",true
438,"标","[PINYIN_FOR_标]",true
439,"树","[PINYIN_FOR_树]",true
440,"校","[PINYIN_FOR_校]",true
441,"格","[PINYIN_FOR_格]",true
442,"案","[PINYIN_FOR_案]",true
443,"桌","[PINYIN_FOR_桌]",true
444,"梦","[PINYIN_FOR_梦]",true
445,"梯","[PINYIN_FOR_梯]",true
446,"检","[PINYIN_FOR_检]",true
447,"棉","[PINYIN_FOR_棉]",true
448,"植","[PINYIN_FOR_植]",true
449,"楚","[PINYIN_FOR_楚]",true
450,"楼","[PINYIN_FOR_楼]",true
451,"概","[PINYIN_FOR_概]",true
452,"欢","[PINYIN_FOR_欢]",true
453,"款","[PINYIN_FOR_款]",true
454,"歉","[PINYIN_FOR_歉]",true
455,"歌","[PINYIN_FOR_歌]",true
456,"正","[PINYIN_FOR_正]",true
457,"武","[PINYIN_FOR_武]",true
458,"死","[PINYIN_FOR_死]",true
459,"母","[PINYIN_FOR_母]",true
460,"每","[PINYIN_FOR_每]",true
461,"毛","[PINYIN_FOR_毛]",true
462,"毯","[PINYIN_FOR_毯]",true
463,"民","[PINYIN_FOR_民]",true
464,"气","[PINYIN_FOR_气]",true
465,"氛","[PINYIN_FOR_氛]",true
466,"水","[PINYIN_FOR_水]",true
467,"永","[PINYIN_FOR_永]",true
468,"求","[PINYIN_FOR_求]",true
469,"汇","[PINYIN_FOR_汇]",true
470,"汉","[PINYIN_FOR_汉]",true
471,"江","[PINYIN_FOR_江]",true
472,"池","[PINYIN_FOR_池]",true
473,"污","[PINYIN_FOR_污]",true
474,"汤","[PINYIN_FOR_汤]",true
475,"没","[PINYIN_FOR_没]",true
476,"河","[PINYIN_FOR_河]",true
477,"油","[PINYIN_FOR_油]",true
478,"法","[PINYIN_FOR_法]",true
479,"注","[PINYIN_FOR_注]",true
480,"泰","[PINYIN_FOR_泰]",true
481,"洗","[PINYIN_FOR_洗]",true
482,"济","[PINYIN_FOR_济]",true
483,"浪","[PINYIN_FOR_浪]",true
484,"海","[PINYIN_FOR_海]",true
485,"消","[PINYIN_FOR_消]",true
486,"淋","[PINYIN_FOR_淋]",true
487,"清","[PINYIN_FOR_清]",true
488,"温","[PINYIN_FOR_温]",true
489,"港","[PINYIN_FOR_港]",true
490,"游","[PINYIN_FOR_游]",true
491,"湾","[PINYIN_FOR_湾]",true
492,"湿","[PINYIN_FOR_湿]",true
493,"滑","[PINYIN_FOR_滑]",true
494,"满","[PINYIN_FOR_满]",true
495,"滨","[PINYIN_FOR_滨]",true
496,"漂","[PINYIN_FOR_漂]",true
497,"漆","[PINYIN_FOR_漆]",true
498,"漠","[PINYIN_FOR_漠]",true
499,"激","[PINYIN_FOR_激]",true
500,"火","[PINYIN_FOR_火]",true
501,"灸","[PINYIN_FOR_灸]",true
502,"烛","[PINYIN_FOR_烛]",true
503,"烟","[PINYIN_FOR_烟]",true
504,"烦","[PINYIN_FOR_烦]",true
505,"热","[PINYIN_FOR_热]",true
506,"然","[PINYIN_FOR_然]",true
507,"熊","[PINYIN_FOR_熊]",true
508,"爬","[PINYIN_FOR_爬]",true
509,"父","[PINYIN_FOR_父]",true
510,"爽","[PINYIN_FOR_爽]",true
511,"牌","[PINYIN_FOR_牌]",true
512,"牛","[PINYIN_FOR_牛]",true
513,"物","[PINYIN_FOR_物]",true
514,"猫","[PINYIN_FOR_猫]",true
515,"玩","[PINYIN_FOR_玩]",true
516,"环","[PINYIN_FOR_环]",true
517,"现","[PINYIN_FOR_现]",true
518,"珍","[PINYIN_FOR_珍]",true
519,"班","[PINYIN_FOR_班]",true
520,"球","[PINYIN_FOR_球]",true
521,"理","[PINYIN_FOR_理]",true
522,"琴","[PINYIN_FOR_琴]",true
523,"琵","[PINYIN_FOR_琵]",true
524,"琶","[PINYIN_FOR_琶]",true
525,"瓜","[PINYIN_FOR_瓜]",true
526,"瓶","[PINYIN_FOR_瓶]",true
527,"瓷","[PINYIN_FOR_瓷]",true
528,"甚","[PINYIN_FOR_甚]",true
529,"生","[PINYIN_FOR_生]",true
530,"用","[PINYIN_FOR_用]",true
531,"由","[PINYIN_FOR_由]",true
532,"申","[PINYIN_FOR_申]",true
533,"电","[PINYIN_FOR_电]",true
534,"画","[PINYIN_FOR_画]",true
535,"界","[PINYIN_FOR_界]",true
536,"留","[PINYIN_FOR_留]",true
537,"白","[PINYIN_FOR_白]",true
538,"的","[PINYIN_FOR_的]",true
539,"盒","[PINYIN_FOR_盒]",true
540,"目","[PINYIN_FOR_目]",true
541,"直","[PINYIN_FOR_直]",true
542,"相","[PINYIN_FOR_相]",true
543,"盹","[PINYIN_FOR_盹]",true
544,"看","[PINYIN_FOR_看]",true
545,"真","[PINYIN_FOR_真]",true
546,"眼","[PINYIN_FOR_眼]",true
547,"睛","[PINYIN_FOR_睛]",true
548,"睡","[PINYIN_FOR_睡]",true
549,"知","[PINYIN_FOR_知]",true
550,"矩","[PINYIN_FOR_矩]",true
551,"短","[PINYIN_FOR_短]",true
552,"石","[PINYIN_FOR_石]",true
553,"码","[PINYIN_FOR_码]",true
554,"研","[PINYIN_FOR_研]",true
555,"础","[PINYIN_FOR_础]",true
556,"硕","[PINYIN_FOR_硕]",true
557,"硬","[PINYIN_FOR_硬]",true
558,"碟","[PINYIN_FOR_碟]",true
559,"磁","[PINYIN_FOR_磁]",true
560,"示","[PINYIN_FOR_示]",true
561,"礼","[PINYIN_FOR_礼]",true
562,"社","[PINYIN_FOR_社]",true
563,"祖","[PINYIN_FOR_祖]",true
564,"祝","[PINYIN_FOR_祝]",true
565,"神","[PINYIN_FOR_神]",true
566,"祥","[PINYIN_FOR_祥]",true
567,"票","[PINYIN_FOR_票]",true
568,"福","[PINYIN_FOR_福]",true
569,"离","[PINYIN_FOR_离]",true
570,"科","[PINYIN_FOR_科]",true
571,"秘","[PINYIN_FOR_秘]",true
572,"租","[PINYIN_FOR_租]",true
573,"积","[PINYIN_FOR_积]",true
574,"究","[PINYIN_FOR_究]",true
575,"突","[PINYIN_FOR_突]",true
576,"窗","[PINYIN_FOR_窗]",true
577,"立","[PINYIN_FOR_立]",true
578,"站","[PINYIN_FOR_站]",true
579,"章","[PINYIN_FOR_章]",true
580,"笃","[PINYIN_FOR_笃]",true
581,"笔","[PINYIN_FOR_笔]",true
582,"等","[PINYIN_FOR_等]",true
583,"筑","[PINYIN_FOR_筑]",true
584,"筒","[PINYIN_FOR_筒]",true
585,"答","[PINYIN_FOR_答]",true
586,"筷","[PINYIN_FOR_筷]",true
587,"简","[PINYIN_FOR_简]",true
588,"算","[PINYIN_FOR_算]",true
589,"箱","[PINYIN_FOR_箱]",true
590,"籍","[PINYIN_FOR_籍]",true
591,"米","[PINYIN_FOR_米]",true
592,"精","[PINYIN_FOR_精]",true
593,"糕","[PINYIN_FOR_糕]",true
594,"糟","[PINYIN_FOR_糟]",true
595,"紧","[PINYIN_FOR_紧]",true
596,"累","[PINYIN_FOR_累]",true
597,"繁","[PINYIN_FOR_繁]",true
598,"纠","[PINYIN_FOR_纠]",true
599,"红","[PINYIN_FOR_红]",true
600,"约","[PINYIN_FOR_约]",true
601,"线","[PINYIN_FOR_线]",true
602,"练","[PINYIN_FOR_练]",true
603,"组","[PINYIN_FOR_组]",true
604,"织","[PINYIN_FOR_织]",true
605,"终","[PINYIN_FOR_终]",true
606,"绍","[PINYIN_FOR_绍]",true
607,"经","[PINYIN_FOR_经]",true
608,"给","[PINYIN_FOR_给]",true
609,"统","[PINYIN_FOR_统]",true
610,"继","[PINYIN_FOR_继]",true
611,"续","[PINYIN_FOR_续]",true
612,"绸","[PINYIN_FOR_绸]",true
613,"绿","[PINYIN_FOR_绿]",true
614,"缆","[PINYIN_FOR_缆]",true
615,"置","[PINYIN_FOR_置]",true
616,"羊","[PINYIN_FOR_羊]",true
617,"美","[PINYIN_FOR_美]",true
618,"翻","[PINYIN_FOR_翻]",true
619,"老","[PINYIN_FOR_老]",true
620,"考","[PINYIN_FOR_考]",true
621,"而","[PINYIN_FOR_而]",true
622,"耳","[PINYIN_FOR_耳]",true
623,"联","[PINYIN_FOR_联]",true
624,"聪","[PINYIN_FOR_聪]",true
625,"肉","[PINYIN_FOR_肉]",true
626,"肚","[PINYIN_FOR_肚]",true
627,"肯","[PINYIN_FOR_肯]",true
628,"胜","[PINYIN_FOR_胜]",true
629,"胡","[PINYIN_FOR_胡]",true
630,"胶","[PINYIN_FOR_胶]",true
631,"能","[PINYIN_FOR_能]",true
632,"脑","[PINYIN_FOR_脑]",true
633,"腐","[PINYIN_FOR_腐]",true
634,"腰","[PINYIN_FOR_腰]",true
635,"自","[PINYIN_FOR_自]",true
636,"舒","[PINYIN_FOR_舒]",true
637,"航","[PINYIN_FOR_航]",true
638,"般","[PINYIN_FOR_般]",true
639,"色","[PINYIN_FOR_色]",true
640,"艺","[PINYIN_FOR_艺]",true
641,"芦","[PINYIN_FOR_芦]",true
